fixation_id;start_time;end_time;norm_pos_x;norm_pos_y;timestamp;event_type;duration;saccade_id;x;y
99.0;1755694213.155;1755694213.489;1459.311787923177;837.622762044271;1755694213.155;Fixation;0.3340001106262207;;;
;1755694213.522;1755694214.122;;;1755694213.522;Saccade;0.5999999046325684;88.0;1441.4129231770833;810.5039876302084
100.0;1755694214.155;1755694223.756;1326.2310090801043;337.13499267525776;1755694214.155;Fixation;9.6010000705719;;;
;1755694223.789;1755694224.056;;;1755694223.789;Saccade;0.2669999599456787;89.0;1299.447021484375;409.2744140625
101.0;1755694224.089;1755694230.622;1263.909557538925;362.34404627450795;1755694224.089;Fixation;6.5329999923706055;;;
;1755694230.656;1755694230.689;;;1755694230.656;Saccade;0.03299999237060547;90.0;1235.2967122395833;337.86165364583326
102.0;1755694230.722;1755694230.856;0.0;1440.0;1755694230.722;Fixation;0.13400006294250488;;;
103.0;1755694230.889;1755694231.222;1240.7782354517983;369.7234678909018;1755694230.889;Fixation;0.33299994468688965;;;
;1755694231.256;1755694232.422;;;1755694231.256;Saccade;1.1659998893737793;91.0;1227.2281901041667;369.69514973958326
104.0;1755694232.456;1755694232.656;0.0;1440.0;1755694232.456;Fixation;0.19999980926513672;;;
;1755694232.689;1755694233.889;;;1755694232.689;Saccade;1.2000000476837158;92.0;1335.5313313802083;275.0594075520834
105.0;1755694233.922;1755694234.056;1233.4852376302083;520.5926106770833;1755694233.922;Fixation;0.13400006294250488;;;
;1755694234.089;1755694234.789;;;1755694234.089;Saccade;0.7000000476837158;93.0;1256.2522786458333;511.41894531249994
106.0;1755694234.822;1755694234.989;901.0490722656249;462.9509141710069;1755694234.822;Fixation;0.16700005531311035;;;
;1755694235.022;1755694235.156;;;1755694235.022;Saccade;0.13399982452392578;94.0;890.19091796875;458.9537760416667
107.0;1755694235.189;1755694236.756;0.0;1440.0;1755694235.189;Fixation;1.567000150680542;;;
;1755694236.789;1755694237.156;;;1755694236.789;Saccade;0.36699986457824707;95.0;1139.4596354166665;313.5611165364583
108.0;1755694237.189;1755694237.289;1231.314473470052;426.2700398763021;1755694237.189;Fixation;0.10000014305114746;;;
;1755694237.323;1755694237.723;;;1755694237.323;Saccade;0.40000009536743164;96.0;1225.4478352864585;438.0408528645832
109.0;1755694237.756;1755694240.789;1372.0504331390584;416.21338887653644;1755694237.756;Fixation;3.0329999923706055;;;
;1755694240.823;1755694240.856;;;1755694240.823;Saccade;0.03299999237060547;97.0;1320.357666015625;469.7920735677083
110.0;1755694240.889;1755694242.423;1387.4677989388863;475.249898392055;1755694240.889;Fixation;1.5340001583099365;;;
;1755694242.456;1755694242.756;;;1755694242.456;Saccade;0.2999999523162842;98.0;1394.0481770833333;472.22859700520826
111.0;1755694242.789;1755694244.623;1321.5742488604922;337.5138870777121;1755694242.789;Fixation;1.8339998722076416;;;
;1755694244.656;1755694244.689;;;1755694244.656;Saccade;0.03299999237060547;99.0;1363.0392252604167;325.60937500000006
112.0;1755694244.723;1755694244.889;0.0;1440.0;1755694244.723;Fixation;0.1659998893737793;;;
113.0;1755694244.923;1755694248.323;1320.8495077775442;477.83258762730986;1755694244.923;Fixation;3.3999998569488525;;;
;1755694248.356;1755694249.423;;;1755694248.356;Saccade;1.067000150680542;100.0;1301.212158203125;386.77254231770826
114.0;1755694249.456;1755694250.223;1209.3870070818718;299.236031060237;1755694249.456;Fixation;0.7669999599456787;;;
;1755694250.289;1755694250.389;;;1755694250.289;Saccade;0.09999990463256836;101.0;0.0;1440.0
115.0;1755694250.423;1755694250.556;1059.64853515625;416.9954752604167;1755694250.423;Fixation;0.13299989700317383;;;
116.0;1755694250.589;1755694252.356;0.0;1440.0;1755694250.589;Fixation;1.7669999599456787;;;
117.0;1755694252.389;1755694252.889;1169.1820039108097;396.71343343600205;1755694252.389;Fixation;0.5;;;
118.0;1755694252.923;1755694253.589;0.0;1440.0;1755694252.923;Fixation;0.6659998893737793;;;
119.0;1755694253.623;1755694254.323;1404.2899696800105;408.7371826206993;1755694253.623;Fixation;0.7000000476837158;;;
;1755694254.356;1755694254.456;;;1755694254.356;Saccade;0.10000014305114746;102.0;1338.5162760416667;368.45157877604163
120.0;1755694254.489;1755694254.623;1301.3159667968753;344.9810872395833;1755694254.489;Fixation;0.13399982452392578;;;
;1755694254.656;1755694254.789;;;1755694254.656;Saccade;0.13300013542175293;103.0;1293.775146484375;368.72208658854163
121.0;1755694254.823;1755694255.156;0.0;1440.0;1755694254.823;Fixation;0.33299994468688965;;;
;1755694255.189;1755694255.223;;;1755694255.189;Saccade;0.03400015830993652;104.0;1305.4129231770833;392.97762044270837
122.0;1755694255.256;1755694255.889;1319.5419901455457;352.68584365040005;1755694255.256;Fixation;0.6329998970031738;;;
;1755694255.923;1755694255.989;;;1755694255.923;Saccade;0.06599998474121094;105.0;1326.5298665364583;360.122802734375
123.0;1755694256.023;1755694257.356;0.0;1440.0;1755694256.023;Fixation;1.3329999446868896;;;
;1755694257.389;1755694258.556;;;1755694257.389;Saccade;1.1670000553131104;106.0;1573.2021484375;217.08007812499997
124.0;1755694258.589;1755694259.156;1404.2620151431263;421.360076949848;1755694258.589;Fixation;0.5669999122619629;;;
;1755694259.189;1755694259.289;;;1755694259.189;Saccade;0.10000014305114746;107.0;1424.2467447916667;404.18025716145826
125.0;1755694259.323;1755694259.423;0.0;1440.0;1755694259.323;Fixation;0.10000014305114746;;;
126.0;1755694259.456;1755694259.623;1326.0931667751736;148.42485894097214;1755694259.456;Fixation;0.16699981689453125;;;
;1755694259.656;1755694259.656;;;1755694259.656;Saccade;0.0;108.0;1328.8307291666665;136.52221679687506
127.0;1755694259.689;1755694260.056;0.0;1440.0;1755694259.689;Fixation;0.36700010299682617;;;
;1755694260.089;1755694261.49;;;1755694260.089;Saccade;1.4010000228881836;109.0;1065.1333821614585;526.3154296874999
128.0;1755694261.523;1755694262.123;1320.8416036442482;457.29392941687394;1755694261.523;Fixation;0.5999999046325684;;;
;1755694262.156;1755694262.49;;;1755694262.156;Saccade;0.3340001106262207;110.0;1318.3269856770833;472.4886881510417
129.0;1755694262.523;1755694262.656;1195.8079427083333;507.98575846354163;1755694262.523;Fixation;0.13299989700317383;;;
;1755694262.69;1755694263.59;;;1755694262.69;Saccade;0.8999998569488525;111.0;1194.274169921875;522.4050292968749
130.0;1755694263.623;1755694263.723;1368.686971028646;534.3847452799479;1755694263.623;Fixation;0.10000014305114746;;;
;1755694263.756;1755694264.423;;;1755694263.756;Saccade;0.6670000553131104;112.0;1380.2965494791667;517.4926757812499
131.0;1755694264.456;1755694267.823;1385.3950552743952;479.53442878582996;1755694264.456;Fixation;3.366999864578247;;;
;1755694267.856;1755694268.723;;;1755694267.856;Saccade;0.8670001029968262;113.0;1428.8741861979167;547.8869628906249
132.0;1755694268.756;1755694268.89;1316.5893880208334;162.85325520833325;1755694268.756;Fixation;0.13400006294250488;;;
;1755694268.923;1755694269.523;;;1755694268.923;Saccade;0.5999999046325684;114.0;1348.8658040364585;164.7854817708332
133.0;1755694269.556;1755694269.69;0.0;1440.0;1755694269.556;Fixation;0.13400006294250488;;;
;1755694269.723;1755694270.023;;;1755694269.723;Saccade;0.2999999523162842;115.0;1362.9889322916667;517.7038574218751
134.0;1755694270.056;1755694271.623;1352.5000039838553;414.7622323233634;1755694270.056;Fixation;1.566999912261963;;;
;1755694271.656;1755694271.89;;;1755694271.656;Saccade;0.23400020599365234;116.0;1322.069580078125;464.28873697916663
135.0;1755694271.923;1755694272.69;1338.7917995780151;567.2802331539614;1755694271.923;Fixation;0.7669999599456787;;;
;1755694272.723;1755694273.723;;;1755694272.723;Saccade;1.0;117.0;1286.7701822916665;483.81575520833326
136.0;1755694273.756;1755694274.523;1330.8527920096458;396.91583883829463;1755694273.756;Fixation;0.7669999599456787;;;
;1755694274.556;1755694274.623;;;1755694274.556;Saccade;0.06699991226196289;118.0;1317.047607421875;408.57706705729174
137.0;1755694274.656;1755694274.923;1557.3527057406625;495.95674560787444;1755694274.656;Fixation;0.2670001983642578;;;
;1755694274.956;1755694274.99;;;1755694274.956;Saccade;0.03399991989135742;119.0;1576.3684895833333;476.2545572916667
138.0;1755694275.023;1755694275.156;1368.9099446614584;371.34833984374995;1755694275.023;Fixation;0.13299989700317383;;;
139.0;1755694275.19;1755694275.99;1463.4143965716198;449.8885075438425;1755694275.19;Fixation;0.7999999523162842;;;
;1755694276.023;1755694276.123;;;1755694276.023;Saccade;0.09999990463256836;120.0;1122.2320963541665;254.17569986979166
140.0;1755694276.156;1755694276.256;1031.6119791666665;300.32228597005206;1755694276.156;Fixation;0.10000014305114746;;;
